English;Latin;Français;Español;Portugues
Posterior part of anterior commissure;Pars posterior commissurae anterioris;Partie postérieure de la commissure antérieure;Parte posterior de la comisura anterior;Parte posterior da comissura anterior
Hippocampal commissure;Commissura hippocampi;Commissure hippocampale;Comisura hipocampal;Comissura hipocampal
Projection fibres of telencephalon;Fibrae projectionis telencephali;Fibres de projection du télencéphale;Fibras de proyección del telencéfalo;Fibras de projeção do telencéfalo
Corticospinal fibres;Fibrae corticospinales;Fibres corticospinales;Fibras cortico-espinales;Fibras corticospinais
Corticopontine fibres;Fibrae corticopontinae;Fibres corticopontines;Fibras de corticopontina;Fibras corticopontinas
Frontopontine fibres;Fibrae frontopontinae;Fibres frontopontines;Fibras frontopontinas;Fibras frontopontinas
Parietopontine fibres;Fibrae parietopontinae;Fibres pariétopontines;Fibras parietopontinas;Fibras parietopontinas
Occipitopontine fibres;Fibrae occipitopontinae;Fibres occipitopontines;Fibras occipitopontinas;Fibras occipitopontinas
Temporopontine fibres;Fibrae temporopontinae;Fibres temporopontines;Fibras temporopontinas;Fibras temporopontinas
Corticonuclear fibres;Fibrae corticonucleares;Fibres corticonucléaires;Fibras corticonucleares;Fibras corticonucleares
Mesencephalic corticonuclear fibres;Fibrae corticonucleares mesencephalli;Fibres corticonucléaires mésencéphaliques;Fibras corticonucleares mesencefálicas;Fibras corticonucleares mesencefálicas
Pontine corticonuclear fibres;Fibrae corticonucleares pontis;Fibres corticonucléaires du pont;Fibras corticonucleares pontinas;Fibras corticonucleares pontinas
Medullary corticonuclear fibres;Fibrae corticonucleares bulbi;Fibres corticonucléaires médullaires;Fibras corticonucleares medulares;Fibras corticonucleares medulares
Corticoreticular fibres;Fibrae corticoreticulares;Fibres corticoréticulaires;Fibras corticoreticulares;Fibras corticorreticulares
Corticomesencephalic fibres;Fibrae corticomesencephalicae;Fibres corticomésencéphaliques;Fibras corticomesencefálicas;Fibras corticomesencefálicas
Corticorubral fibres;Fibrae corticorubrales;Fibres corticorubrales;Fibras corticorubrales;Fibras corticorubrais
Corticotectal fibres;Fibrae corticotectales;Fibres corticotectales;Fibras corticotectales;Fibras corticotetais
Corticothalamic fibres;Fibrae corticothalamicae;Fibres corticothalamiques;Fibras corticotalámicas;Fibras corticotalâmicas
Fornix;Fornix;Fornix;Fornix;Fornix
Crus of fornix;Crus fornicis;Pilier du fornix;Crus del fórnix;Cruz de fórnix
Body of fornix;Corpus fornicis;Corps du fornix;Cuerpo del fornix;Corpo do fórnice
Column of fornix;Columna fornicis;Colonne du fornix;Columna del fórnix;Coluna de fórnix
Precommissural fibres;Fibrae precommissurales;Fibres précommissurales;Fibras precomisurales;Fibras pré-comissurais
Postcommissural fibres;Fibrae postcommissurales;Fibres postcommissurales;Fibras poscomisurales;Fibras pós-comissurais
Lateral ventricle;Ventriculus lateralis;Ventricule latéral;Ventrículo lateral;Ventrículo lateral
Frontal horn;Cornu frontale;Corne frontale;Cuerno frontal;Chifre frontal
Interventricular foramen;Foramen interventriculare;Foramen interventriculaire;Foramen interventricular;Forame interventricular
Body of lateral ventricle;Pars centralis ventriculi lateralis;Corps du ventriculae latéral;Cuerpo del ventrículo lateral;Corpo do ventrículo lateral
Atrium of lateral ventricle;Atrium ventriculi lateralis;Atrium du ventricule latéral;Atrio del ventrículo lateral;Átrio do ventrículo lateral
Occipital horn;Cornu occipitale;Corne occipitale;Cuerno occipital;Corno occipital
Temporal horn;Cornu temporale;Corne temporale;Cuerno temporal;Chifre temporal
Walls of lateral ventricle;Parietes ventriculi lateralis;Parois du ventricule latéral;Paredes del ventrículo lateral;Paredes do ventrículo lateral
Septum pellucidum;Septum pellucidum;Septum pellucidum;Septum pellucidum;Septo pelúcido
Cave of septum pellucidum;Cavum septi pellucidi;Cavité du septum pellucidum;Cueva del septum pellucidum;Caverna do septo pelúcido
Laminae of septum pellucidum;Laminae septi pellucidi;Lame du septum pellucidum;Láminas de septum pellucidum;Lâminas do septo pelúcido
Lamina affixa;Lamina affixa;Lamina affixa;Lámina affixa;Lâmina afixada
Choroid line of lateral ventricle;Taenia chorioidea ventriculi lateralis;Ténia choroïde du ventricule latéral;Línea coroidea del ventrículo lateral;Linha coróide do ventrículo lateral
Choroid fissure;Fissura chorioidea;Fissure choroïde;Fisura coroidea;Fissura coróide
Taenia of fornix;Taenia fornicis;Ténia du fornix;Tenia del fornix;Taenia de fórnix
Choroid plexus of lateral ventricle;Plexus chorioideus ventriculi lateralis;Plexus choroïde du ventricule latéral;Plexo coroideo del ventrículo lateral;Plexo coróide do ventrículo lateral
Choroidal enlargement;Glomus chorioideum;Elargissement choroïdal;Agrandamiento coroideo;Aumento coroidal
Pes hippocampi;Pes hippocampi;Pied de l'hippocampe;Pie del hipocampo;Pes hipocampi
Collateral trigone;Trigonum collaterale;Trigone collatéral;Trígono colateral;Trígono colateral
Collateral eminence;Eminentia collateralis;Eminence collatérale;Eminencia colateral;Eminência colateral
Bulb of occipital horn;Bulbus cornus occipitalis;Bulbe de la corne occipitale;Bulbo del cuerno occipital;Bulbo do chifre occipital
Calcarine spur;Calcar avis;Calcar avis;Espuela calcarina;Espora calcarina
Diencephalon;Diencephalon;Diencéphale;Diencéfalo;Diencéfalo
Habenula;Habenula;Habenula;Habénula;Habenula
Habenular trigone;Trigonum habenulare;Trigone habénulaire;Trígono habenular;Trígono habenular
Habenular sulcus;Sulcus habenularis;Sillon habénulaire;Surco habenular;Sulco habenular
Pulvinar;Pulvinar thalami;Pulvinar;Pulvinar;Pulvinar
Lateral geniculate body;Corpus geniculatum laterale;Corps géniculé latéral;Cuerpo geniculado lateral;Corpo geniculado lateral
Medial geniculate body;Corpus geniculatum mediale;Corps géniculé médial;Cuerpo geniculado medial;Corpo geniculado medial
Optic chiasm;Chiasma opticum;Chiasma optique;Quiasma óptico;Quiasma óptico
Optic tract;Tractus opticus;Tractus optique;Tracto óptico;Trato óptico
Lateral root of optic tract;Radix lateralis tractus optici;Racine latérale du tractus optique;Raíz lateral del tracto óptico;Raiz lateral do trato óptico
Medial root of optic tract;Radix medialis tractus optici;Racine médiale du tractus optique;Raíz medial del tracto óptico;Raiz medial do trato óptico
Infundibulum of hypothalamus;Infundibulum hypothalami;Infundibulum de l'hypothalamus;Infundíbulo del hipotálamo;Infundíbulo do hipotálamo
Tuber cinereum;Tuber cinereum;Tuber cinereum;Tuber cinereum;Tuber cinereum
Mamillary body;Corpus mammillare;Corps mamillaire;Cuerpo mamilar;Corpo mamilar
Epithalamus;Epithalamus;Epithalamus;Epitálamo;Epitálamo
Lateral habenular nucleus;Nucleus habenularis lateralis;Noyau habenulaire latéral;Núcleo habenular lateral;Núcleo habenular lateral
Medial habenular nucleus;Nucleus habenularis medialis;Noyan habénulaire médial;Núcleo habenular medial;Núcleo habenular medial
Thalamus;Thalamus;Thalamus;Tálamo;Thalamus
Anterior nuclei of thalamus;Nuclei anteriores thalami;Noyaux antérieurs du thalamus;Núcleos anteriores del tálamo;Núcleos anteriores do tálamo
Medial nuclei of thalamus;Nuclei mediales thalami;Noyaux médiaux du thalamus;Núcleos mediales del tálamo;Núcleos mediais do tálamo
Mediodorsal nucleus;Nucleus mediodorsalis thalami;Noyau médiodorsal du thalamus;Núcleo mediodorsal;Núcleo mediodorsal
Thalamic medullary laminae;Laminae medullares thalami;Lames médullaires thalamiques;Láminas medulares talámicas;Lâminas medulares talâmicas
External medullary lamina of thalamus;Lamina medullaris externa thalami;Lame médullaire thalamique externe;Lámina medular externa del tálamo;Lâmina medular externa do tálamo
Internal medullary lamina of thalamus;Lamina medullaris interna thalami;Lame médullaire thalamique interne;Lámina medular interna del tálamo;Lâmina medular interna do tálamo
Intralaminar nuclei of thalamus;Nuclei intralaminares thalami;Noyaux intralaminaires du thalamus;Núcleos intralaminares del tálamo;Núcleos intralaminares do tálamo
Lateral nuclei of thalamus;Nuclei laterales thalami;Noyaux latéraux du thalamus;Núcleos laterales del tálamo;Núcleos laterais do tálamo
Ventral nuclei of thalamus;Nuclei ventrales thalami;Noyaux ventraux du thalamus;Núcleos ventrales del tálamo;Núcleos ventrais do tálamo
Ventral anterior nucleus;Nucleus ventralis anterior;Noyaux ventraux antérieurs;Núcleos ventrales anteriores;Núcleo anterior ventral
Ventral lateral nuclei;Nuclei ventrales laterales;Noyaux ventraux latéraux;Núcleos ventrales laterales;Núcleos laterais ventrais
Ventral medial nuclei;Nuclei ventrales mediales;Noyaux ventraux médiaux;Núcleos ventrales mediales;Núcleos mediais ventrais
Ventral posterior nuclei;Nuclei ventrales posteriores;Noyaux ventraux postérieurs;Núcleos ventrales posteriores;Núcleos ventrais posteriores
Ventral posterolateral nucleus;Nucleus ventralis posterolateralis;Noyau ventral postérolatéral;Núcleo ventral posterolateral;Núcleo ventral posterolateral
Ventral posteromedial nucleus;Nucleus ventralis posteromedialis;Noyau ventral postéromédial;Núcleo ventral posteromedial;Núcleo ventral posteromedial
Ventral posterior inferior nucleus;Nucleus ventralis posterior inferior;Noyau ventral postéro-inférieur;Núcleo ventral postero-inferior;Núcleo ventral postero-inferior
Dorsal nuclei of thalamus;Nucleus dorsalis thalami;Noyau dorsal du thalamus;Núcleos dorsales del tálamo;Núcleos dorsais do tálamo
Lateral dorsal nucleus;Nucleus dorsalis lateralis;Noyau dorsolatéral;Núcleo dorsolateral;Núcleo dorsolateral
Lateral posterior nucleus;Nucleus lateralis posterior;Noyau postérolatéral;Núcleo posterolateral;Núcleo posterolateral
Pulvinar nuclei;Nuclei pulvinaris;Noyau du pulvinar;Núcleos del pulvinar;Núcleos do pulvinar
Periventricular nuclei of thalamus;Nuclei periventriculares thalami;Noyaux périventraux du thalamus;Núcleos periventriculares del tálamo;Núcleos periventriculares do tálamo
Nuclei of geniculate bodies;Nuclei corporum geniculatorum;Noyaux des corps géniculés;Núcleos de los cuerpos geniculados;Núcleos de corpos geniculados
Lateral geniculate nucleus;Nucleus corporis geniculati lateralis;Noyau géniculé latéral;Núcleo geniculado lateral;Núcleo geniculado lateral
Medial geniculate nuclei;Nuclei corporis geniculati medialis;Noyaux médiaux du corps géniculé;Núcleos geniculados mediales;Núcleos geniculados mediais
Prethalamus;Prethalamus;Préthalamus;Pretálamo;Prethalamus
Reticular nucleus of prethalamus;Nucleus reticularis prethalami;Noyau réticulaire du préthalamus;Núcleo reticular del pretálamo;Núcleo reticular do pretálamo
Pregeniculate nucleus;Nucleus pregeniculatus;Noyau prégéniculé;Núcleo pregeniculado;Núcleo pré-regenerado
Nuclei of perizonal fields;Nuclei campi perizonalis;Noyaux des aires périzonales;Núcleos de las areas perizonales;Núcleos de campos perizonais
Zona incerta;Zona incerta;Zona incerta;Zona incerta;Zona incerta
Subthalamus;Subthalamus;Subthalamus;Subtálamo;Subtálamo
Subthalamic nucleus;Nucleus subthalamicus;Noyau subthalamique;Núcleo subtalámico;Núcleo subtalâmico
Preoptic area;Area preoptica;Aire pré-optique;Área pre-óptica;Área pré-óptica
Periventricular preoptic nucleus;Nucleus preopticus periventricularis;Noyau pré-optique périventriculaire;Núcleo pre-óptico periventricular;Núcleo pré-óptico periventricular
Medial preoptic nucleus;Nucleus preopticus medialis;Noyau pré-optique médial;Núcleo pre-óptico medial;Núcleo pré-óptico medial
Lateral preoptic nucleus;Nucleus preopticus lateralis;Noyau pré-optique latéral;Núcleo pre-óptico lateral;Núcleo pré-óptico lateral
Hypothalamus;Hypothalamus;Hypothalamus;Hipotálamo;Hipotálamo
Periventricular hypothalamic zone;Zona hypothalamica periventricularis;Zone hypothalamique périventriculaire;Zona hipotalámica periventricular;Zona hipotalâmica periventricular
Medial hypothalamic zone;Zona hypothalamica medialis;Zone hypothalamique médiale;Zona hipotalámica medial;Zona hipotalâmica medial
Lateral hypothalamic zone;Zona hypothalamica lateralis;Zone hypothalamique latérale;Zona hipotalámica lateral;Zona hipotalâmica lateral
Anterior hypothalamic area;Area hypothalamica anterior;Aire hypothalamique antérieure;Área hipotalámica anterior;Área hipotalâmica anterior
Anterior periventricular hypothalamic nucleus;Nucleus periventricularis anterior hypothalami;Noyau hypothalamique périventriculaire antérieur;Núcleo hipotalámico periventricular anterior;Núcleo hipotalâmico periventricular anterior
Suprachiasmatic nucleus;Nucleus suprachiasmaticus;Noyau suprachiasmatique;Núcleo supraquiasmático;Núcleo supraquiasmático
Supra-optic nucleus;Nucleus supraopticus;Noyau supra-optique;Núcleo supra-óptico;Núcleo supra-óptico
Paraventricular hypothalamic nucleus;Nucleus paraventricularis;Noyau paraventriculaire de l'hypothalamus;Núcleo hipotalámico paraventricular;Núcleo hipotalâmico paraventricular
Anterior part of lateral hypothalamic zone;Pars anterior zonae hypothalamicae lateralis;Partie antérieure de la zone hypothalamique latérale;Parte anterior de la zona hipotalámica lateral;Parte anterior da zona hipotalâmica lateral
Intermediate hypothalamic area;Area hypothalamica intermedia;Aire hypothalamique intermédiaire;Área hipotalámica intermedia;Área hipotalâmica intermediária
Posterior periventricular hypothalamic nucleus;Nucleus periventricularis posterior hypothalami;Noyau hypothalamique périventriculaire postérieur;Núcleo hipotalámico periventricular posterior;Núcleo hipotalâmico periventricular posterior
Arcuate nucleus of hypothalamus;Nucleus arcuatus hypothalami;Noyau arqué de l'hypothalamus;Núcleo arqueado del hipotálamo;Núcleo arqueado do hipotálamo
Perifornical nucleus;Nucleus perifornicalis;Noyau périfornical;Núcleo perifornical;Núcleo perifornical
Dorsomedial hypothalamic nucleus;Nucleus dorsomedialis hypothalami;Noyau hypothalamique dorsomédial;Núcleo hipotalámico dorsomedial;Núcleo hipotalâmico dorsomedial
Ventromedial hypothalamic nucleus;Nucleus ventromedialis hypothalami;Noyau hypothalamique ventromédial;Núcleo hipotalámico ventromedial;Núcleo hipotalâmico ventromedial
Tuberal part of lateral hypothalamic zone;Pars tuberalis zonae hypothalamicae lateralis;Partie tubérale de la zone hypothalamique latérale;Parte tuberal de la zona hipotalámica lateral;Parte tuberal da zona hipotalâmica lateral
Posterior hypothalamic area;Area hypothalamica posterior;Aire hypothalamique postérieure;Área hipotalámica posterior;Área hipotalâmica posterior
Medial mamillary nucleus;Nucleus mamillaris medialis;Noyau mamillaire médial;Núcleo mamilar medial;Núcleo mamilar medial
Lateral mamillary nucleus;Nucleus mamillaris lateralis;Noyau mammiliare latéral;Núcleo mamilar lateral;Núcleo mamilar lateral
Tuberomamillary nucleus;Nucleus tuberomammillaris;Noyau tubéromammilaire;Núcleo tuberomamilar;Núcleo tuberomamilar
Lateral tuberal nucleus;Nucleus tuberalis lateralis;Noyau tubéral latéral;Núcleo tuberal lateral;Núcleo tuberal lateral
Posterior part of lateral hypothalamic zone;Pars posterior zonae hypothalamicae lateralis;Partie postérieure de la zone hypothalamique latérale;Parte posterior de la zona hipotalámica lateral;Parte posterior da zona hipotalâmica lateral
Dorsal hypothalalmic area;Area hypothalamica dorsalis;Aire hypothalamique dorsale;Área hipotalámica dorsal;Área hipotálmica dorsal
Posterior hypothalamic nucleus;Nucleus posterior hypothalami;Noyau hypothalamique postérieur;Núcleo hipotalámico posterior;Núcleo hipotalâmico posterior
Pretectum;Pretectum;Prétectum;Pretectum;Pretectum
Pretectal nuclei;Nuclei pretectales;Noyaux prétectaux;Núcleos pretectales;Núcleos pré-retais
Nucleus of posterior commissure;Nucleus commissurae posterioris;Noyau commissural postérieur;Núcleo de la comisura posterior;Núcleo da comissura posterior
Accessory nuclei of optic tract;Nuclei accessorii tractus optici;Noyaux accessoires du tractus optique;Núcleos accesorios del tracto óptico;Núcleos acessórios do trato óptico
Prerubral tegmentum;Tegmentum prerubrale;Tegmentum prérubral;Tegmento prerubral;Tegmento prerubral
Interstitial nucleus;Nucleus interstitialis;Noyau interstitiel;Núcleo intersticial;Núcleo intersticial
Elliptic nucleus;Nucleus ellipticus;Noyau elliptique;Núcleo elíptico;Núcleo elíptico
White matter of diencephalon;Substantia alba diencephali;Substance blanche du diencéphale;Sustancia blanca del diencéfalo;Substância branca do diencéfalo
Stria medullaris thalami;Stria medullaris thalami;Strie médullaire thalamique;Estrías talámicas medulares;Stria medullaris thalami
Habenular commissure;Commissura habenularum;Commissure habénulaire;Comisura habenular;Comissura habenular
Posterior commissure;Commissura posterior;Commissure postérieure;Comisura posterior;Comissura posterior
Habenulo-interpeduncular tract;Tractus habenulointerpeduncularis;Tractus habénulo-interpedonculaire;Tracto habenulo-interpeduncular;Trato habenulo-interpeduncular
Ansa lenticularis;Ansa lenticularis;Cercle lenticulaire;Círculo lenticular;Ansa lenticularis
Lenticular fasciculus;Fasciculus lenticularis;Faisceau lenticulaire;Fascículo lenticular;Fascículo lenticular
Ansa peduncularis;Ansa peduncularis;Cercle pédonculaire;Círculo peduncular;Ansa peduncularis
Fasciculus peduncularis;Fasciculus peduncularis;Faisceau pédonculaire;Fasciculo peduncular;Fasciculus peduncularis
Fasciculus subthalamicus;Fasciculus subthalamicus;Faisceau subthalamique;Fasciculo subthalamico;Fasciculus subthalamicus
Fasciculus thalamicus;Fasciculus thalamicus;Faisceau thalamique;Fasciculo thalamico;Fasciculus thalamicus
Mamillothalamic fasciculus;Fasciculus mamillothalamicus;Faisceau mamillothalamique;Fascículo mamilotalámico;Fascículo mamilotalâmico
Mamillotegmental fasciculus;Fasciculus mamillotegmentalis;Faisceau mamillotegmental;Fascículo mamilotegmental;Fascículo mamilotegmental
Supra-optic commissures;Commissurae supraopticae;Commissure supra-optique;Comisuras supra-ópticas;Comissuras supra-ópticas
Dorsal supra-optic commissure;Commissura supraoptica dorsalis;Commissure supra-optique dorsale;Comisura supra-óptica dorsal;Comissura supra-óptica dorsal
Ventral supra-optic commissure;Commissura supraoptica ventralis;Commissure supra-optique ventrale;Comisura supra-óptica ventral;Comissura supra-óptica ventral
Periventricular fibres of thalamus;Fibrae periventriculares thalami;Fibres thalamiques préventriculaires;Fibras talámicas periventriculares;Fibras periventriculares do tálamo
Periventricular fibres of hypothalamus;Fibrae periventriculares hypothalami;Fibres hypothalamiques préventriculaires;Fibras hipotalámicas periventriculares;Fibras periventriculares do hipotálamo
Medial forebrain bundle;Fasciculus medialis telencephali;Faisceau médial du télencéphale;Fasciculo medial del telencéfalo;Feixe do prosencéfalo medial
Hypothalamohypophysial tract;Tractus hypothalamohypophysialis;Tractus hypothalamohypophysaire;Tracto hipotálamohipofisario;Trato hipotálamo-hipofisário
Supraopticohypophysial tract;Tractus supraopticohypophysialis;Tractus supra-optico-hypophysaire;Tracto supra-optico-hipofisario;Trato supraóptico-hipofisário
Paraventriculohypophysial tract;Tractus paraventriculohypophysialis;Tractus paraventriculohypophysaire;Tracto paraventriculohipofisario;Trato paraventriculohipofisário
Retinohypothalamic tract;Tractus retinohypothalamicus;Tractus rétinohypothalamique;Tracto retinohipotalámico;Trato retinohipotalâmico
Third ventricle;Ventriculus tertius;Troisième ventricule;Tercer ventrículo;Terceiro ventrículo
Suprapineal recess;Recessus suprapinealis;Récessus suprapinéal;Receso suprapineal;Recesso suprapineal
Pineal recess;Recessus pinealis;Récessus pinéal;Receso pineal;Recesso pineal
Infundibular recess;Recessus infundibuli;Récessus infundibulaire;Receso infundibular;Recesso infundibular
Supra-optic recess;Recessus supraopticus;Récessus supra-optique;Receso supra-óptico;Recesso supra-óptico
Superior opening of aqueduct of midbrain;Apertura superior aquaeductus mesencephali;Ouverture supérieure de l'aqueduc du mésencéphale;Apertura superior del acueducto del mesencéfalo;Abertura superior do aqueduto do mesencéfalo
Walls of third ventricle;Parietes ventriculi tertii;Parois du troisième ventricule;Paredes del tercer ventrículo;Paredes do terceiro ventrículo
Lamina terminalis;Lamina terminalis;Lame terminale;Lamina terminal;Lamina terminalis
Anterior thalamic tubercle;Tuberculum anterius thalami;Tubercule thalamique antérieur;Tubérculo talámico anterior;Tubérculo talâmico anterior
Interthalamic adhesion;Adhaesio interthalamica;Adhésion interthalamique;Adhesión intertalámica;Adesão intertalâmica
Hypothalamic sulcus;Sulcus hypothalamicus;Sillon hypothalamique;Surco hipotalámico;Sulco hipotalâmico
Periventricular organs of third ventricle;Organa periventricularia ventriculi tertii;Organes périventriculaires du troisième ventricule;Órganos periventriculares del tercer ventrículo;Órgãos periventriculares do terceiro ventrículo
Vascular organ of lamina terminalis;Organum vasculosum laminae terminalis;Organe vasculaire de la lame terminale;Órgano vascular de la lámina terminal;Órgão vascular da lâmina terminal
Subfornical organ;Organum subfornicale;Organe subfornical;Órgano subfornical;Órgão subfornical
Subcommissural organ;Organum subcommissurale;Organe subcommissural;Órgano subcomisural;Órgão subcomissural
Median eminence;Eminentia mediana;Éminence médiane;Eminencia mediana;Eminência mediana
Taenia thalami;Taenia thalami;Ténia thalamique;Tenia thalámico;Taenia thalami
Choroid plexus of third ventricle;Plexus chorioideus ventriculi tertii plexus;Plexus choroïde du troisième ventricule;Plexo coroideo del tercer ventrículo;Plexo coróide do terceiro ventrículo
Tela choroidea of third ventricle;Tela chorioidea ventriculi tertii;Toile choroïdienne du troisième ventricule;Tela coroidea del tercer ventrículo;Tela coróide do terceiro ventrículo
Cerebellum;Cerebellum;Cervelet;Cerebelo;Cerebelo
Arbor vitae;Arbor vitae;Arbre de vie;Arbol de vida;Arbor vitae
Cerebellar fissures;Fissurae cerebelli;Fissures cérébelleuses;Fisuras cerebelosas;Fissuras cerebelares
Folia of cerebellum;Folia cerebelli;Folia du cérébellum;Folia del cerebelo;Folia de cerebelo
Body of cerebellum;Corpus cerebelli;Corps du cervelet;Cuerpo del cerebelo;Corpo de cerebelo
Anterior lobe of cerebellum;Lobus anterior cerebelli;Lobe cérébelleux antérieur;Lóbulo anterior del cerebelo;Lobo anterior do cerebelo
Primary fissure;Fissura prima;Fissure primaire;Fisura primaria;Fissura primária
Posterior lobe of cerebellum;Lobus posterior cerebelli;Lobe postérieur du cervelet;Lóbulo posterior del cerebelo;Lobo posterior do cerebelo
Horizontal fissure;Fissura horizontalis;Fissure horizontale;Fisura horizontal;Fissura horizontal
Secondary fissure;Fissura secunda;Fissure secondaire;Fisura secundaria;Fissura secundária
Posterolateral fissure;Fissura posterolateralis;Fissure postérolatérale;Fisura posterolateral;Fissura pósterolateral
Flocculonodular lobe;Lobus flocculonodularis;Lobe flocculonodulaire;Lóbulo floculonodular;Lobo floculonodular
Vallecula of cerebellum;Vallecula cerebelli;Vallécule cérébelleuse;Vallecula del cerebelo;Vallecula de cerebelo
Pontocerebellum;Pontocerebellum;Pontocerebellum;Pontocerebelo;Pontocerebelo
Spinocerebellum;Spinocerebellum;Spinocerebellum;Espinocerebelo;Espinocerebelo
Vestibulocerebellum;Vestibulocerebellum;Vestibulocerebellum;Vestibulocerebelo;Vestibulocerebelo
Hemisphere of cerebellum;Hemisphaerium cerebelli;Hémisphère du cervelet;Hemisferio del cerebelo;Hemisfério de cerebelo
Wing of central lobule;Ala lobuli centralis;Aile du lobule central;Ala del lóbulo central;Asa do lóbulo central
Lobule II of cerebellar hemisphere;Lobulus II hemisphaerII cerebelli;Lobule II de l'éhmisphère cérébelleux;Lóbulo II del hemisferio cerebeloso;Lóbulo II do hemisfério cerebelar
Lobule III of cerebellar hemisphere;Lobulus III hemisphaerii cerebelli;Lobule III de l'éhmisphère cérébelleux;Lóbulo III del hemisferio cerebeloso;Lóbulo III do hemisfério cerebelar
Anterior quadrangular lobule;Lobulus quadrangularis anterior;Lobule quadrangulaire antérieur;Lóbulo cuadrangular anterior;Lóbulo quadrangular anterior
Lobule IV of cerebellar hemisphere;Lobulus IV hemisphaerii cerebelli;Lobule IV de l'hémisphère cérébelleux;Lóbulo IV del hemisferio cerebeloso;Lóbulo IV do hemisfério cerebelar
Lobule V of cerebellar hemisphere;Lobulus V hemisphaerii cerebelli;Lobule V de l'hémisphère cérébelleux;Lóbulo V del hemisferio cerebeloso;Lóbulo V do hemisfério cerebelar
Posterior quadrangular lobule;Lobulus quadrangularis posterior;Lobule quadrangulaire postérieur;Lóbulo cuadrangular posterior;Lóbulo quadrangular posterior
Semilunar lobules;Lobuli semilunares;Lobules semilunaires;Lóbulos semilunares;Lóbulos semilunares
Superior semilunar lobule;Lobulus semilunaris superior;Lobule semilunaire supérieur;Lóbulo semilunar superior;Lóbulo semilunar superior
Inferior semilunar lobule;Lobulus semilunaris inferior;Lobule semilunaire inférieur;Lóbulo semilunar inferior;Lóbulo semilunar inferior
Gracile lobule;Lobulus gracilis;Lobule gracile;Lóbulo grácil;Lóbulo grácil
Biventral lobule;Lobulus biventer;Lobule biventral;Lóbulo biventral;Lóbulo biventral
Tonsil of cerebellum;Tonsilla cerebelli;Tonsille du cervelet;Amígdala del cerebelo;Amígdala de cerebelo
Flocculus;Flocculus;Flocculus;Flocculus;Flocculus
Vermis of cerebellum;Vermis cerebelli;Vermis du cervelet;Vermis del cerebelo;Vermis de cerebelo
Lingula of cerebellum;Lingula cerebelli;Lingula du cervelet;Lingula del cerebelo;Lingula de cerebelo
Central lobule;Lobulus centralis vermis;Lobule central;Lóbulo central;Lóbulo central
Lobule II of vermis;Lobulus II vermis;Lobule II du vermis;Lóbulo II del vermis;Lóbulo II do vermis
Lobule III of vermis;Lobulus III vermis;Lobule III du vermis;Lóbulo III del vermis;Lóbulo III do vermis
Culmen;Culmen;Culmen;Culmen;Culmen
Lobule IV of vermis;Lobulus IV vermis;Lobule IV du vermis;Lóbulo IV del vermis;Lóbulo IV do vermis
Lobule V of Vermis;Lobulus V Vermis;Lobule V du Vermis;Lóbulo V del Vermis;Lóbulo V do Vermis
Declive;Declive;Déclive;Declive;Declive
Folium of vermis;Folium vermis;Folium vermis;Folio del vermis;Fólio do vermis
Tuber of vermis;Tuber vermis;Tuber vermis;Tubérculo del vermis;Tubérculo do vermis
Pyramis of vermis;Pyramis vermis;Pyramide du vermis;Pirámide del vermis;Pirâmide do vermis
Uvula of vermis;Uvula vermis;Uvule du vermis;Úvula del vermis;Úvula do vermis
Nodule of vermis;Nodulus vermis;Nodule du vermis;Nódulo del vermis;Nódulo do vermis
Grey matter of cerebellum;Substantia grisea cerebelli;Substance grise du cervelet;Sustancia gris del cerebelo;Substância cinzenta do cerebelo
Cerebellar cortex;Cortex cerebelli;Cortex cérébelleux;Corteza cerebelosa;Córtex cerebelar
Cerebellar nuclei;Nuclei cerebelli;Noyaux cérébelleux;Núcleos cerebelosos;Núcleos cerebelares
Dentate nucleus;Nucleus dentatus;Noyau dentelé;Núcleo dentado;Núcleo dentado
Hilum of dentate nucleus;Hilum nuclei dentati;Hile du noyau dentelé;Hilo del núcleo dentado;Hilo do núcleo dentado
Emboliform nucleus;Nucleus emboliformis;Noyau emboliforme;Núcleo emboliforme;Núcleo emboliforme
Globose nucleus;Nucleus globosus;Noyau globuleux;Núcleo globoso;Núcleo globoso
Fastigial nucleus;Nucleus fastigii;Noyau fastigial;Núcleo fastigial;Núcleo fastigial
White matter of cerebellum;Substantia alba cerebelli;Substance blanche du cervelet;Sustancia blanca del cerebelo;Substância branca do cerebelo
Medullary lamellae of cerebellum;Laminae albae cerebelli;Lame médullaire du cervelet;Láminas medulares del cerebelo;Lamelas medulares do cerebelo
Cerebellar commissure;Commissura cerebelli;Commissure cérébelleuse;Comisura cerebelosa;Comissura cerebelar
Peduncle of flocculus;Pedunculus flocculi;Pédoncule du flocculus;Pedúnculo del flóculo;Pedúnculo de flóculo
Cerebellar peduncles;Pedunculi cerebellares;Pédoncules cérébelleux;Pedúnculos cerebelosos;Pedúnculos cerebelares
Superior cerebellar peduncle;Pedunculus cerebellaris superior;Pédoncule cérébelleux supérieur;Pedúnculo cerebeloso superior;Pedúnculo cerebelar superior
Dentatothalamic tract;Tractus dentatothalamicus;Tractus dentatothalamique;Tracto dentatotalámico;Trato dentatotalâmico
Middle cerebellar peduncle;Pedunculus cerebellaris medius;Pédoncule cérébelleux moyen;Pedúnculo cerebeloso medio;Pedúnculo cerebelar médio
